,parallax,phot_g_mean_mag,bp_rp
0,1.0958873202967456,14.447882,0.8358679
1,1.1417018894543072,13.718393,0.842082
2,1.1302185515056689,14.149156,0.78682613
3,1.16839158686107,14.359411,0.968462
4,1.1282729308880564,12.562445,0.7126322
5,1.1475886193176104,12.88945,0.72583675
6,1.194348403694512,14.59011,0.9932718
7,1.1449809958548884,16.114237,1.2979603
8,1.0507438050297124,16.434546,1.3966732
9,1.2248304467667932,15.720381,1.3322945
10,1.1614443624856257,12.390281,0.7816067
11,1.1521506313290233,17.575953,1.8685951
12,1.1406060608614237,14.696521,0.97691536
13,1.1907824989748226,17.233728,1.69907
14,1.1463666453012733,13.986189,0.775403
15,1.0677617804502897,17.511879,2.0325928
16,1.1368382183664567,13.699181,0.75373936
17,1.1656130107146512,14.034807,0.7885084
18,1.1168651977451838,15.831147,1.1894732
19,1.149714131125889,14.206959,0.8261156
20,0.877775501165374,14.469284,0.80631447
21,1.2166316306640776,12.464717,0.78820705
22,1.052465700040304,15.542323,1.106143
23,1.11441650343621,14.041427,0.7936554
24,1.1695066387068414,16.83582,1.5429115
25,1.2199593471368089,17.938349,2.0626526
26,1.0998206019645695,13.485824,0.7329273
27,0.8416802163464816,17.634897,1.8657608
28,1.167490616534254,12.697912,1.0938492
29,1.172402697847742,8.858565,1.6367264
30,1.079417122056316,17.267056,1.7357483
31,1.107735394686656,15.84601,1.1741085
32,1.1121668026117004,14.625885,0.88911724
33,1.1483328705688762,15.01497,0.97100925
34,1.1466730185239116,16.781284,1.5057507
35,0.4586014690056232,16.613552,0.9146919
36,1.1526976505645552,16.569128,1.4343853
37,1.130504951442845,15.204648,1.0021515
38,1.1477507819871064,14.980596,0.9520426
39,1.1328045243539713,14.462305,1.0001984
40,1.1754650006147955,12.787833,1.0106649
41,1.1527814260330285,15.324436,1.0352755
42,1.1399150776506994,12.497732,0.8481989
43,1.148896149245945,12.430536,0.78082085
44,1.1455626436653457,14.644585,0.89446545
45,1.1986862537454122,17.344692,1.7342033
46,1.1297047483040137,13.389088,0.71811676
47,1.1416986119937134,16.82277,1.546073
48,1.188203804096045,16.028463,1.2649784
49,1.1387764097927688,13.014684,0.74192905
50,1.2018841718108124,17.534235,2.013773
51,1.044474044049836,16.61028,1.4506922
52,1.09785214298995,15.659702,1.245822
53,1.161483913317375,15.915327,1.1952085
54,1.1720334661995724,13.204584,0.71120167
55,1.1324341918394667,14.222943,0.8348274
56,1.258703940254049,17.165012,1.8044662
57,1.12500794803951,15.258637,1.0038767
58,1.122858137026619,13.524892,0.7342062
59,1.0988460053567968,16.365112,1.3807573
60,1.1862181835380194,13.75739,0.76067543
61,1.1587257774885589,17.647688,1.8651218
62,1.1776446574837185,17.33302,2.1314812
63,1.209819422678799,16.668568,1.4754057
64,1.1680926281287092,16.125412,1.297679
65,1.1335659170397616,16.909548,1.657444
66,1.315842010207829,17.458586,1.7902164
67,1.089696964967683,15.567408,1.3324366
68,1.0824406075319744,17.302053,1.6975574
69,1.155422714122445,16.487295,1.4333696
70,1.0002432924766034,16.493284,1.6294403
71,1.1195722926204588,14.043963,0.81076145
72,1.3367509483164008,17.299242,1.7934246
73,1.1616089197820474,13.141925,0.76594925
74,1.1211968876546707,17.05594,1.6412868
75,1.1365107156660572,15.329233,1.0775299
76,1.133657635832198,16.555809,1.4160347
77,1.1860312245908633,16.402733,1.3949232
78,1.3111384052662989,16.74895,1.5378847
79,0.9976815181752436,16.129448,1.3802023
80,1.1517035789481922,13.207407,0.73400307
81,1.06528142413875,17.737473,1.9120865
82,1.2557382439349156,17.703156,1.9006252
83,1.2229013743358346,17.24666,1.707386
84,1.1418545331876582,17.209242,1.695076
85,1.033868482953683,17.873466,1.9272823
86,1.1263390880905002,15.716153,1.1521025
87,1.1631822543250008,16.685137,1.4935656
88,1.2282111263524909,17.905495,2.248539
89,1.078874885258175,16.165909,1.309001
90,1.116340997102261,13.82129,0.76503754
91,1.115480809476049,15.7027025,1.1454611
92,1.1916981344606936,17.611038,1.8262424
93,1.1695584827783538,13.780851,0.7681618
94,1.0313190876665568,16.358063,1.369628
95,1.1821101215965053,15.316563,1.0347748
96,1.1371465730154535,14.842712,0.9270382
97,1.390956602062779,17.991562,2.3231964
98,1.1469923387426275,13.223673,0.71833706
99,1.0844289606676838,17.874096,1.9317265
